ds,y
2016-07-02,3991.0
2016-07-03,4873.0
2016-07-04,5092.0
2016-07-05,5174.0
2016-07-06,4462.0
2016-07-07,4190.0
2016-07-08,3969.0
2016-07-09,4251.0
2016-07-10,4569.0
2016-07-11,4688.0
2016-07-12,4258.0
2016-07-13,4137.0
2016-07-14,3917.0
2016-07-15,3549.0
2016-07-16,3933.0
2016-07-17,4607.0
2016-07-18,4681.0
2016-07-19,4099.0
2016-07-20,5513.0
2016-07-21,5254.0
2016-07-22,3716.0
2016-07-23,3757.0
2016-07-24,4315.0
2016-07-25,4630.0
2016-07-26,4130.0
2016-07-27,3795.0
2016-07-28,3566.0
2016-07-29,3343.0
2016-07-30,3743.0
2016-07-31,4099.0
2016-08-01,4163.0
2016-08-02,4015.0
2016-08-03,3805.0
2016-08-04,3510.0
2016-08-05,3342.0
2016-08-06,3137.0
2016-08-07,3538.0
2016-08-08,3631.0
2016-08-09,3585.0
2016-08-10,3210.0
2016-08-11,3111.0
2016-08-12,2822.0
2016-08-13,2928.0
2016-08-14,3398.0
2016-08-15,3525.0
2016-08-16,3530.0
2016-08-17,3172.0
2016-08-18,3171.0
2016-08-19,2973.0
2016-08-20,3049.0
2016-08-21,3840.0
2016-08-22,3918.0
2016-08-23,3465.0
2016-08-24,3465.0
2016-08-25,3350.0
2016-08-26,3129.0
2016-08-27,3089.0
2016-08-28,3876.0
2016-08-29,4008.0
2016-08-30,3828.0
2016-08-31,3267.0
2016-09-01,3336.0
2016-09-02,3380.0
2016-09-03,3310.0
2016-09-04,3886.0
2016-09-05,3851.0
2016-09-06,3621.0
2016-09-07,3172.0
2016-09-08,3458.0
2016-09-09,3584.0
2016-09-10,3556.0
2016-09-11,4292.0
2016-09-12,3697.0
2016-09-13,3448.0
2016-09-14,3400.0
2016-09-15,3146.0
2016-09-16,2871.0
2016-09-17,3156.0
2016-09-18,3602.0
2016-09-19,4654.0
2016-09-20,3999.0
2016-09-21,3477.0
2016-09-22,3243.0
2016-09-23,3012.0
2016-09-24,2943.0
2016-09-25,3423.0
2016-09-26,3429.0
2016-09-27,3163.0
2016-09-28,3153.0
2016-09-29,3129.0
2016-09-30,2798.0
2016-10-01,2922.0
2016-10-02,4516.0
2016-10-03,4542.0
2016-10-04,4045.0
2016-10-05,3813.0
2016-10-06,3448.0
2016-10-07,3210.0
2016-10-08,4215.0
2016-10-09,4432.0
2016-10-10,3981.0
2016-10-11,3303.0
2016-10-12,3109.0
2016-10-13,2891.0
2016-10-14,2867.0
2016-10-15,2777.0
2016-10-16,3612.0
2016-10-17,3584.0
2016-10-18,3287.0
2016-10-19,2854.0
2016-10-20,2973.0
2016-10-21,2731.0
2016-10-22,2929.0
2016-10-23,3275.0
2016-10-24,3560.0
2016-10-25,3185.0
2016-10-26,3089.0
2016-10-27,2798.0
2016-10-28,2818.0
2016-10-29,2876.0
2016-10-30,3232.0
2016-10-31,3454.0
2016-11-01,3103.0
2016-11-02,3064.0
2016-11-03,2785.0
2016-11-04,2744.0
2016-11-05,2957.0
2016-11-06,3687.0
2016-11-07,3353.0
2016-11-08,3221.0
2016-11-09,2503.0
2016-11-10,2937.0
2016-11-11,2872.0
2016-11-12,3171.0
2016-11-13,3724.0
2016-11-14,3882.0
2016-11-15,3579.0
2016-11-16,3567.0
2016-11-17,3344.0
2016-11-18,3477.0
2016-11-19,3461.0
2016-11-20,4560.0
2016-11-21,3964.0
2016-11-22,3516.0
2016-11-23,3308.0
2016-11-24,3427.0
2016-11-25,3487.0
2016-11-26,3804.0
2016-11-27,4532.0
2016-11-28,4207.0
2016-11-29,3732.0
2016-11-30,3648.0
2016-12-01,3640.0
2016-12-02,3289.0
2016-12-03,3525.0
2016-12-04,4010.0
2016-12-05,4153.0
2016-12-06,3809.0
2016-12-07,3659.0
2016-12-08,3327.0
2016-12-09,3244.0
2016-12-10,3580.0
2016-12-11,4081.0
2016-12-12,4375.0
2016-12-13,3791.0
2016-12-14,3834.0
2016-12-15,3607.0
2016-12-16,3385.0
2016-12-17,3431.0
2016-12-18,4513.0
2016-12-19,4510.0
2016-12-20,3866.0
2016-12-21,3791.0
2016-12-22,3892.0
2016-12-23,3495.0
2016-12-24,3326.0
2016-12-25,3516.0
2016-12-26,4669.0
2016-12-27,4997.0
2016-12-28,4904.0
2016-12-29,4772.0
2016-12-30,4881.0
2016-12-31,4433.0
2017-01-01,5644.0
2017-01-02,7968.0
2017-01-03,8834.0
2017-01-04,6409.0
2017-01-05,6262.0
2017-01-06,5866.0
2017-01-07,6202.0
2017-01-08,7288.0
2017-01-09,6862.0
2017-01-10,6410.0
2017-01-11,7189.0
2017-01-12,6810.0
2017-01-13,6296.0
2017-01-14,8648.0
2017-01-15,10017.0
2017-01-16,10517.0
2017-01-17,8598.0
2017-01-18,7854.0
2017-01-19,7227.0
2017-01-20,7012.0
2017-01-21,9172.0
2017-01-22,11634.0
2017-01-23,10965.0
2017-01-24,10016.0
2017-01-25,9948.0
2017-01-26,9656.0
2017-01-27,10196.0
2017-01-28,12253.0
2017-01-29,21165.0
2017-01-30,26716.0
2017-01-31,14566.0
2017-02-01,11684.0
2017-02-02,10252.0
2017-02-03,9735.0
2017-02-04,10621.0
2017-02-05,14464.0
2017-02-06,17655.0
2017-02-07,13514.0
2017-02-08,11367.0
2017-02-09,9424.0
2017-02-10,8720.0
2017-02-11,9032.0
2017-02-12,13686.0
2017-02-13,17643.0
2017-02-14,12072.0
2017-02-15,9659.0
2017-02-16,9117.0
2017-02-17,8527.0
2017-02-18,9047.0
2017-02-19,13825.0
2017-02-20,16438.0
2017-02-21,13447.0
2017-02-22,10712.0
2017-02-23,10080.0
2017-02-24,9068.0
2017-02-25,10515.0
2017-02-26,15265.0
2017-02-27,17575.0
2017-02-28,12611.0
2017-03-01,10540.0
2017-03-02,10281.0
2017-03-03,8852.0
2017-03-04,9062.0
2017-03-05,14656.0
2017-03-06,18247.0
2017-03-07,12949.0
2017-03-08,10422.0
2017-03-09,9177.0
2017-03-10,8791.0
2017-03-11,9303.0
2017-03-12,14651.0
2017-03-13,16073.0
2017-03-14,11835.0
2017-03-15,9527.0
2017-03-16,7968.0
2017-03-17,7499.0
2017-03-18,7371.0
2017-03-19,11900.0
2017-03-20,14713.0
2017-03-21,10598.0
2017-03-22,8626.0
2017-03-23,7881.0
2017-03-24,6983.0
2017-03-25,7261.0
2017-03-26,13104.0
2017-03-27,16566.0
2017-03-28,11698.0
2017-03-29,9599.0
2017-03-30,8615.0
2017-03-31,8146.0
2017-04-01,8676.0
2017-04-02,19827.0
2017-04-03,31808.0
2017-04-04,20499.0
2017-04-05,14522.0
2017-04-06,12391.0
2017-04-07,10629.0
2017-04-08,10544.0
2017-04-09,11712.0
2017-04-10,11127.0
2017-04-11,8394.0
2017-04-12,8037.0
2017-04-13,7306.0
2017-04-14,7486.0
2017-04-15,7175.0
2017-04-16,7908.0
2017-04-17,8835.0
2017-04-18,6974.0
2017-04-19,6386.0
2017-04-20,5954.0
2017-04-21,5766.0
2017-04-22,6128.0
2017-04-23,6885.0
2017-04-24,6746.0
2017-04-25,5858.0
2017-04-26,5298.0
2017-04-27,4937.0
2017-04-28,4638.0
2017-04-29,5341.0
2017-04-30,6048.0
2017-05-01,6647.0
2017-05-02,5459.0
2017-05-03,5220.0
2017-05-04,5109.0
2017-05-05,5096.0
2017-05-06,5243.0
2017-05-07,6125.0
2017-05-08,5946.0
2017-05-09,5343.0
2017-05-10,4805.0
2017-05-11,4637.0
2017-05-12,4522.0
2017-05-13,4729.0
2017-05-14,5579.0
2017-05-15,5541.0
2017-05-16,5471.0
2017-05-17,5144.0
2017-05-18,4785.0
2017-05-19,4661.0
2017-05-20,5073.0
2017-05-21,5529.0
2017-05-22,4827.0
2017-05-23,4423.0
2017-05-24,4547.0
2017-05-25,4747.0
2017-05-26,4701.0
2017-05-27,4910.0
2017-05-28,5519.0
2017-05-29,6318.0
2017-05-30,5707.0
2017-05-31,4550.0
2017-06-01,4150.0
2017-06-02,3970.0
2017-06-03,4296.0
2017-06-04,4570.0
2017-06-05,4893.0
2017-06-06,4586.0
2017-06-07,4098.0
2017-06-08,3817.0
2017-06-09,3458.0
2017-06-10,3791.0
2017-06-11,4375.0
2017-06-12,4275.0
2017-06-13,3786.0
2017-06-14,3732.0
2017-06-15,3441.0
2017-06-16,3676.0
2017-06-17,3726.0
2017-06-18,4249.0
2017-06-19,4177.0
2017-06-20,4218.0
2017-06-21,3917.0
2017-06-22,3703.0
2017-06-23,3759.0
2017-06-24,4029.0
2017-06-25,4654.0
2017-06-26,4522.0
2017-06-27,3960.0
2017-06-28,4013.0
2017-06-29,3814.0
2017-06-30,3290.0
2017-07-01,3824.0
2017-07-02,4044.0
2017-07-03,3967.0
2017-07-04,3982.0
2017-07-05,3844.0
2017-07-06,3670.0
2017-07-07,3435.0
2017-07-08,3534.0
2017-07-09,4018.0
2017-07-10,4163.0
2017-07-11,3922.0
2017-07-12,3815.0
2017-07-13,3613.0
2017-07-14,3577.0
2017-07-15,3570.0
2017-07-16,4163.0
2017-07-17,4014.0
2017-07-18,3599.0
2017-07-19,3764.0
2017-07-20,3517.0
2017-07-21,3270.0
2017-07-22,3606.0
2017-07-23,4118.0
2017-07-24,4477.0
2017-07-25,3837.0
2017-07-26,3686.0
2017-07-27,3358.0
2017-07-28,3353.0
2017-07-29,3320.0
2017-07-30,3891.0
2017-07-31,3690.0
2017-08-01,3507.0
2017-08-02,3321.0
2017-08-03,3290.0
2017-08-04,3267.0
2017-08-05,3339.0
2017-08-06,3789.0
2017-08-07,4760.0
2017-08-08,4316.0
2017-08-09,4423.0
2017-08-10,4253.0
2017-08-11,3745.0
2017-08-12,3887.0
2017-08-13,4318.0
2017-08-14,5034.0
2017-08-15,4314.0
2017-08-16,3995.0
2017-08-17,3788.0
2017-08-18,3689.0
2017-08-19,3702.0
2017-08-20,4056.0
2017-08-21,3821.0
2017-08-22,3627.0
2017-08-23,3582.0
2017-08-24,3400.0
2017-08-25,3169.0
2017-08-26,3282.0
2017-08-27,3694.0
2017-08-28,3711.0
2017-08-29,3875.0
2017-08-30,3860.0
2017-08-31,3478.0
2017-09-01,3438.0
2017-09-02,3713.0
2017-09-03,4126.0
2017-09-04,4177.0
2017-09-05,3928.0
2017-09-06,3402.0
2017-09-07,3340.0
2017-09-08,3080.0
2017-09-09,3220.0
2017-09-10,
